,genre,Artist,gender
0,pop,Aaliyah,female
1,pop,Beyoncé,female
2,pop,Britney Spears,female
3,pop,Carly Rae Jepsen,female
4,pop,Charli XCX,female
5,pop,Dua Lipa,female
6,pop,Madonna,female
7,pop,Michael Jackson,male
8,pop,Olivia Rodrigo,female
9,pop,Taylor Swift,female
10,rap,2Pac,male
11,rap,A Tribe Called Quest,male
12,rap,Eminem,male
13,rap,Ice Cube,male
14,rap,JAY-Z,male
15,rap,Kanye West,male
16,rap,Kendrick Lamar,male
17,rap,MF DOOM,male
18,rap,Nas,male
19,rap,Yasiin Bey,male
20,rock,Black Sabbath,male
21,rock,Deep Purple,male
22,rock,Foo Fighters,male
23,rock,Fugazi,male
24,rock,Led Zeppelin,male
25,rock,Nirvana,male
26,rock,Queens of the Stone Age,male
27,rock,The Rolling Stones,male
28,rock,The Strokes,male
29,rock,The White Stripes,male
30,soul,Al Green,male
31,soul,Aretha Franklin,female
32,soul,Clarence Carter,male
33,soul,Curtis Mayfield,male
34,soul,Marvin Gaye,male
35,soul,Minnie Riperton,female
36,soul,Nina Simone,female
37,soul,Otis Redding,male
38,soul,Sam Cooke,male
39,soul,Stevie Wonder,male
