,Artist,genre,gender,x,y
0,Aaliyah,pop,female,-0.0710965,5.7245092
1,Beyoncé,pop,female,2.1243134,6.6923795
2,Britney Spears,pop,female,1.150222,9.281603
3,Carly Rae Jepsen,pop,female,2.195162,8.982724
4,Charli XCX,pop,female,2.12891,8.030042
5,Dua Lipa,pop,female,1.6202472,8.412982
6,Madonna,pop,female,2.0297332,10.403159
7,Michael Jackson,pop,male,3.0997202,11.326805
8,Olivia Rodrigo,pop,female,2.9840276,8.861784
9,Taylor Swift,pop,female,3.290754,9.314874
10,2Pac,rap,male,1.142218,6.796728
11,A Tribe Called Quest,rap,male,1.1604205,5.4871507
12,Eminem,rap,male,-0.7037321,7.271906
13,Ice Cube,rap,male,1.3398069,6.69322
14,JAY-Z,rap,male,1.9665579,5.206821
15,Kanye West,rap,male,1.0462321,4.285059
16,Kendrick Lamar,rap,male,2.0635955,6.167581
17,MF DOOM,rap,male,0.49238056,7.010201
18,Nas,rap,male,0.45265633,6.2003407
19,Yasiin Bey,rap,male,-0.6086388,6.9362044
20,Black Sabbath,rock,male,1.0279541,8.938544
21,Deep Purple,rock,male,2.6387641,7.697804
22,Foo Fighters,rock,male,2.1506715,10.635947
23,Fugazi,rock,male,0.91913694,8.544643
24,Led Zeppelin,rock,male,2.903394,10.495052
25,Nirvana,rock,male,2.0207365,5.0581417
26,Queens of the Stone Age,rock,male,3.2266908,6.158561
27,The Rolling Stones,rock,male,1.309303,7.390838
28,The Strokes,rock,male,0.7544609,9.073391
29,The White Stripes,rock,male,0.6521306,7.916412
30,Al Green,soul,male,0.73033077,11.574026
31,Aretha Franklin,soul,female,0.2477353,11.169236
32,Clarence Carter,soul,male,3.5993826,7.8932877
33,Curtis Mayfield,soul,male,1.5615412,5.8986244
34,Marvin Gaye,soul,male,1.5572077,7.803192
35,Minnie Riperton,soul,female,1.0912682,11.849557
36,Nina Simone,soul,female,1.520438,12.431773
37,Otis Redding,soul,male,-1.0207679,9.821072
38,Sam Cooke,soul,male,4.0288215,8.80789
39,Stevie Wonder,soul,male,1.5618917,11.821844
