,positive,negative,neutral,sadness,anger,joy,fear,love,surprise
Aaliyah,10,2,8,6,2,9,2,1,0
Beyoncé,15,3,2,6,4,8,0,2,0
Britney Spears,12,4,4,3,3,11,2,1,0
Carly Rae Jepsen,7,5,8,9,1,6,3,1,0
Charli XCX,13,5,2,5,2,10,3,0,0
Dua Lipa,11,5,4,4,5,7,2,2,0
Madonna,13,5,2,1,2,17,0,0,0
Michael Jackson,11,5,4,5,2,10,2,1,0
Olivia Rodrigo,12,5,3,9,2,8,1,0,0
Taylor Swift,7,6,7,7,4,8,0,1,0
2Pac,8,3,9,4,7,9,0,0,0
A Tribe Called Quest,10,3,7,3,6,11,0,0,0
Eminem,2,12,6,9,6,4,1,0,0
Ice Cube,1,10,9,2,11,4,3,0,0
JAY-Z,8,6,6,7,3,8,1,1,0
Kanye West,12,3,5,3,4,12,0,1,0
Kendrick Lamar,8,5,7,4,3,10,0,3,0
MF DOOM,8,1,11,7,2,8,2,1,0
Nas,5,6,9,3,6,9,0,2,0
Yasiin Bey,10,3,7,0,5,13,1,1,0
Black Sabbath,13,5,2,6,3,8,2,0,1
Deep Purple,8,9,3,6,6,7,1,0,0
Foo Fighters,9,5,6,8,2,8,1,1,0
Fugazi,7,6,7,8,8,4,0,0,0
Led Zeppelin,12,1,7,6,2,6,1,4,1
Nirvana,11,5,4,6,4,6,3,1,0
Queens of the Stone Age,12,5,3,7,1,11,1,0,0
The Rolling Stones,6,8,6,6,4,9,1,0,0
The Strokes,6,5,9,5,4,7,2,1,1
The White Stripes,9,5,6,9,2,7,0,1,1
Al Green,17,3,0,4,1,14,0,1,0
Aretha Franklin,16,3,1,4,2,10,1,3,0
Clarence Carter,18,1,1,6,3,6,1,4,0
Curtis Mayfield,14,1,5,4,3,13,0,0,0
Marvin Gaye,14,2,4,5,0,12,1,2,0
Minnie Riperton,17,1,2,3,0,13,0,3,1
Nina Simone,12,3,5,7,5,7,1,0,0
Otis Redding,10,3,7,6,0,8,2,4,0
Sam Cooke,16,4,0,3,1,14,1,1,0
Stevie Wonder,17,1,2,2,0,14,1,3,0
